code,start_stamp
BLCM,1418878800.0
BLDP,815806800.0
BLDR,1119931200.0
BLFS,706852800.0
BLKB,1090814400.0
BLMN,1344398400.0
BLMT,1317787200.0
BLRX,1311739200.0
BLUE,1371614400.0
BLVD,1447650000.0
BLVDU,1392267600.0
BMTC,492235200.0
BNCL,1184558400.0
BNDX,1370318400.0
BNFT,1379476800.0
BNSO,614923200.0
BOBE,322117200.0
BOCH,941605200.0
BOFI,1110949200.0
BOKF,684043200.0
BONT,685684800.0
BOOM,599979600.0
BOSC,828421200.0
BOTJ,965880000.0
BPFH,761202000.0
BPFHP,1366344000.0
BPOP,322117200.0
BPOPM,1227070800.0
BPOPN,1070341200.0
BPTH,1204606800.0
BRCD,927604800.0
BREW,808632000.0
BRID,322117200.0
BRKL,890802000.0
BRKR,965361600.0
BRKS,791701200.0
BSET,322117200.0
BSPM,1262062800.0
BSQR,940478400.0
BSRR,766641600.0
BSTC,-441831600.0
BUR,1270440000.0
BUSE,907646400.0
BV,1330059600.0
BVSN,835329600.0
BWEN,1131598800.0
BWFG,1270440000.0
BWINA,322117200.0
BWINB,516340800.0
BWLD,1069650000.0
BYBK,770356800.0
BYFC,821163600.0
CA,377240400.0
CAAS,1065499200.0
CAC,876283200.0
CACC,707716800.0
CACG,1493870400.0
CACH,353221200.0
CADC,1226379600.0
CAKE,716788800.0
CALA,1412222400.0
CALD,1069304400.0
CALM,850366800.0
CAMP,440139600.0
CAMT,964756800.0
CAR,432360000.0
CARA,1391144400.0
CARB,1313035200.0
CARO,1400040000.0
CART,1103605200.0
CARV,783144000.0
CARZ,1305000000.0
CASH,748497600.0
CASI,834552000.0
CASM,791614800.0
CASS,820558800.0
CASY,435470400.0
CATM,1197522000.0
CATY,661150800.0
CAVM,1178078400.0
CBAK,1108357200.0
CBAN,1511758800.0
CBAY,1391403600.0
CBF,1348113600.0
CBFV,791614800.0
CBLI,1153800000.0
CBMG,1180929600.0
CBMX,1040014800.0
ABCW,345445200.0
ATRO,322117200.0
ATRS,844315200.0
BBBY,707716800.0
BBC,1418792400.0
BHBK,1406001600.0
BIB,1270785600.0
BMRC,945925200.0
BMRN,932961600.0
BSF,831096000.0
BSFT,1276660800.0
CALI,1251259200.0
CBOE,1276574400.0
CBPO,1201582800.0
CBRL,373784400.0
CBSH,322117200.0
CBSHP,1402891200.0
CCBG,770875200.0
CCCL,1197867600.0
CCCR,1376366400.0
CCIH,1285905600.0
CCLP,1308110400.0
CCMP,954907200.0
CCNE,765432000.0
CCOI,1012885200.0
CCRN,1003982400.0
CCUR,506926800.0
CCXI,1328677200.0
CDC,1404273600.0
CDK,1411358400.0
CDNA,1405569600.0
CDNS,550296000.0
CDXS,1271908800.0
CDZI,599806800.0
CECE,344581200.0
CECO,886050000.0
CELG,554443200.0
CELGZ,1286337600.0
CEMI,1083729600.0
CEMP,1328504400.0
CENT,711172800.0
CENTA,1170738000.0
CENX,828075600.0
CERN,534142800.0
CERS,854686800.0
CETV,782020800.0
CEVA,1036126800.0
CFA,1404273600.0
CFBK,914994000.0
CFFI,894513600.0
CFFN,922942800.0
CFNB,544852800.0
CFO,1404273600.0
CFRX,1410494400.0
CG,1336017600.0
CGEN,965966400.0
CGIX,1365134400.0
CGNX,616910400.0
CGO,1130385600.0
CHDN,733381200.0
CHEF,1311825600.0
CHFC,586497600.0
CHFN,1028260800.0
CHI,1025150400.0
CHKE,739080000.0
CHKP,835934400.0
CHMG,915426000.0
CHNR,807768000.0
